sku,product_name,regular_price,stock_quantity,stock_status,product_type,product_status,product_categories,tags,weight,length_mm,width_mm,height_mm,_acf_power_watts,_acf_cc_cv_type,_acf_dimming_type,_acf_output_current_ma,_acf_ip_protection,_acf_series_type,_acf_manufacturer_brand,_acf_manufacturer_part_number,_acf_dimensions_length_mm,_acf_dimensions_width_mm,_acf_dimensions_height_mm,_acf_dimension_category,_acf_input_voltage
1100007200,LED Converter IT FIT 7/220-240/700 CS l ON/OFF,10.0,0,outofstock,simple,publish,LED Treiber,CONVERTER MA,,104,30,26,7,cc,not_dimmable,700mA,,it_fit,Osram/Ledvance,4062172199285 | IT FIT 7/220-240/700 CS,104,30,26,compact,220_240v_ac
1100010200,LED Converter LC 10W 150-400mA flexC SC EXC,28.0,3,instock,simple,publish,LED Treiber,CONVERTER MA TRIDONIC,,97,43,30,10,cc,,150-400mA,,lc,Tridonic,28000704 + 2x 28001699,97,43,30,compact,220_240v_ac
1100015200,LED Converter OT FIT 15/220-240/350 CS S ON/OFF,9.0,57,instock,simple,publish,LED Treiber,CONVERTER MA,,87,35,22,15,cc,not_dimmable,350mA,,ot_fit,Osram/Ledvance,6937186133946 | OT FIT 15/220-240/350 CS S MINI,87,35,22,compact,220_240v_ac
1100017200,LED Converter LC 17W 250-700mA flexC SC EXC,29.0,6,instock,simple,publish,LED Treiber,CONVERTER MA,,97,43,30,17,cc,,250-700mA,,lc,Tridonic,28000705 + 2x 28001699,97,43,30,compact,220_240v_ac
1100019201,LED Converter LC 19W 200-350mA Ip SNC4,7.0,0,outofstock,simple,publish,LED Treiber,CONVERTER MA,,180,30,21,19,cc,,200-350mA,,lc,Tridonic,28004120,180,30,21,medium,220_240v_ac
1100021200,LED Converter FLS 21W 150mA-500mA,16.0,0,outofstock,simple,publish,LED Treiber,CONVERTER MA SIMPEX,,97,43,30,21,cc,,150mA,,fls,Simpex,FLS-21-500 LD,97,43,30,compact,220_240v_ac
1100025201,LED Converter LC 25W 350-600mA NFC INTRACK w,30.0,0,outofstock,simple,publish,LED Treiber,CONVERTER MA,,231,32,43,25,cc,nfc,350-600mA,,lc,Tridonic,87500819,231,32,43,medium,220_240v_ac
1100025202,LED Converter LC 25W 350-1050mA flexC SC EXC,32.0,5,instock,simple,publish,LED Treiber,CONVERTER MA TRIDONIC,,97,43,30,25,cc,,350-1050mA,,lc,Tridonic,28000706 + 2x 28001699,97,43,30,compact,220_240v_ac
1100025203,LED Converter 5-25W 150-500mA,51.2,56,instock,simple,publish,LED Treiber,CONVERTER MA QUICK-FIX DOTLUX,,280,30,21,25,cc,,150-500mA,,other,Dotlux,5136,280,30,21,large,220_240v_ac
1100025500,LED Converter SLIM 25W 350mA-500mA,43.0,16,instock,simple,publish,LED Treiber,CONVERTER MA | TCI SUPERSLIM,,299,19.6,12.9,25,cc,,350mA,,other,TCI,127330,299,19.6,12.9,large,220_240v_ac
1100028200,LED Converter 16-28W 400-700mA,30.0,0,outofstock,simple,publish,LED Treiber,CONVERTER DOTLUX,,170,63,29,28,cc,,400-700mA,,other,Dotlux,5333,170,63,29,medium,220_240v_ac
